# roc rsi_change percD percK osc_ad macd rsi_period stoch_period osc_ad_period macd_me1_period macd_me2_period roc_period
Value:      30335, Params: [-43, 33, 19.52398115830659, 85.65524741399871, 9.290533173798565, 43.383663568707, 32, 10, 13, 20, 8, 29]
Value:      30335, Params: [-43, 33, 19.52398115830659, 85.65524741399871, 9.290533173798565, 43.383663568707, 32, 10, 13, 20, 8, 29]
Value:      19868, Params: [37, 25, 64.35949949849244, 55.545518336015355, 44.877425886988796, 314.54834564734097, 31, 21, 34, 30, 36, 22]
Value:      18176, Params: [46, -16, 83.57050558763459, 24.581883945156157, 33.433466673991674, 166.76416821691174, 34, 46, 20, 39, 28, 10]
Value:       6771, Params: [-1, 79, 39.161226616965884, 73.12531563102648, 19.86463000269689, 373.9595469095995, 17, 41, 36, 47, 25, 9]
Value:      18285, Params: [17, 45, 63.084350287125076, 22.692316522423805, 44.877425886988796, 314.54834564734097, 34, 46, 19, 30, 36, 22]
Value:      18247, Params: [80, -86, 73.90671458787278, 92.46622669297686, 37.55710751811466, 373.89228103438387, 25, 29, 14, 38, 15, 36]
Value:      18275, Params: [-79, -71, 43.41006221390644, 98.18230231859106, 81.03511073655713, 0.8385191191425445, 39, 10, 18, 18, 47, 40]
Value:      18247, Params: [46, -17, 57.18035573000216, 99.34605739850315, 37.55710751811466, 230.62224611287928, 14, 21, 14, 17, 33, 40]
Value:      18275, Params: [-72, -9, 58.40262126390975, 43.311710352783294, 15.165915788360952, 373.89228103438387, 25, 29, 18, 18, 47, 46]
Value:      21353, Params: [1, 94, 24.25101817881895, 44.039487734321035, 15.165915788360952, 0.8385191191425445, 42, 28, 13, 25, 44, 27]
Value:      18247, Params: [54, -79, 72.06145083664228, 99.34605739850315, 36.58035521550571, 230.62224611287928, 39, 10, 14, 38, 22, 35]
Value:      30335, Params: [-43, 33, 19.52398115830659, 85.65524741399871, 9.290533173798565, 43.383663568707, 32, 10, 13, 20, 8, 29]
Value:      42435, Params: [7, 22, 63.81459287429401, 67.3662449436228, 83.0245052988717, 110.39406215503558, 36, 26, 20, 35, 22, 35]
Value:      18285, Params: [53, 94, 46.655711498994116, 55.545518336015355, 63.77777848907289, 330.45762961785414, 43, 13, 19, 20, 43, 14.329673916325003]
Value:      25098, Params: [7, 22, 63.81459287429401, 67.3662449436228, 83.0245052988717, 110.39406215503558, 36, 26, 27, 21, 6, 19]
Value:      18280, Params: [54, -79, 72.06145083664228, 99.34605739850315, 36.58035521550571, 289.26210571701455, 13, 39, 27, 21, 43, 19]
Value:      25098, Params: [7, 22, 63.81459287429401, 67.3662449436228, 83.0245052988717, 110.39406215503558, 36, 26, 27, 21, 43, 19]
Value:      18275, Params: [-20, -44, 24.89444672474991, 68.61108881704689, 19.677294572157855, 334.59548199633764, 15, 45, 22, 32, 47, 12]
Value:      27275, Params: [7, 22, 63.81459287429401, 99.34605739850315, 39.7451801920156, 184.68020153080408, 34, 35, 27, 38, 14, 19]
Value:      33028, Params: [-1, 79, 39.161226616965884, 22.692316522423805, 44.877425886988796, 314.54834564734097, 34, 46, 19, 30, 36, 22]
Value:      22170, Params: [1, 14, 26.231004224721588, 41.25038936368865, 88.50668180108123, 215.84033313535943, 39, 21, 20, 30, 15, 44]
Value:      18275, Params: [-20, -44, 24.89444672474991, 68.61108881704689, 19.677294572157855, 334.59548199633764, 15, 45, 22, 32, 47, 12]
Value:      18176, Params: [99, 14, 62.95718816938077, 24.581883945156157, 76.61521438653772, 301.6199758208337, 45, 39, 20, 39, 28, 10]
Value:      45485, Params: [-1, 79, 37.74041093102014, 38.97688263469167, 12.593209149637218, 234.09273403192367, 35, 12, 18, 30, 36, 29]
Value:      20539, Params: [8, 39, 11.68454587446659, 64.54009185621207, 77.37547877587838, 259.7966300958992, 20, 23, 26, 38, 14, 36]
Value:      29972, Params: [-1, 79, 39.161226616965884, 22.692316522423805, 81.03511073655713, 0.8385191191425445, 39, 10, 23, 31, 39, 36]
Value:      18151, Params: [73, -16, 83.57050558763459, 73.73916735198755, 30.85613522636953, 341.95727455096664, 20, 45, 14, 38, 15, 12]
Value:      30335, Params: [-43, 33, 19.52398115830659, 85.65524741399871, 9.290533173798565, 43.383663568707, 32, 10, 13, 20, 8, 29]
Value:      18285, Params: [-72, -9, 58.40262126390975, 43.311710352783294, 37.25901989793158, 398.39648765107466, 50, 39, 19, 17, 33, 46]
Value:       7841, Params: [-43, 33, 19.52398115830659, 85.1469743629738, 9.290533173798565, 43.478403673535865, 33.2206184528233, 23, 26, 18.400282752616135, 9.96055479452529, 29]
Value:      18140, Params: [7, 22, 63.81459287429401, 67.3662449436228, 83.0245052988717, 259.7966300958992, 20, 10, 13, 38, 14, 19]
Value:      18275, Params: [-79, -60, 25.476849315676553, 11.7598773487957, 60.326143117482346, 237.14859606410124, 43, 43, 18, 18, 47, 40]
Value:      18176, Params: [-5, -86, 73.90671458787278, 92.46622669297686, 37.55710751811466, 373.89228103438387, 25, 29, 20, 42, 14, 8]
Value:      17765, Params: [54, -79, 72.06145083664228, 99.34605739850315, 36.58035521550571, 373.9595469095995, 17, 41, 36, 47, 25, 9]
Value:      13201, Params: [17, 45, 63.084350287125076, 73.12531563102648, 19.86463000269689, 289.26210571701455, 13, 39, 27, 21, 43, 19]
Value:      18176, Params: [80, 14, 26.231004224721588, 98.46871227673817, 88.50668180108123, 215.84033313535943, 39, 21, 20, 42, 15, 36]
Value:      18176, Params: [1, -71, 43.41006221390644, 11.7598773487957, 60.326143117482346, 237.14859606410124, 43, 43, 20, 30, 15, 44]
