# smaS_period smaL_period rsi_period rsi_top rsi_bot
Value:      20764, Params: [48, 254, 22, 68, 10]
Value:      45548, Params: [101, 251, 26, 62, 11]
Value:      18959, Params: [107, 184, 38, 73, 24]
Value:     186229, Params: [52, 209, 53, 76, 39]
Value:      45548, Params: [128, 236, 26, 62, 11]
Value:      10000, Params: [101, 251, 96, 85, 39]
Value:     114240, Params: [53, 250, 25, 73, 39]
Value:      10561, Params: [140, 74, 18, 87, 34]
Value:      10000, Params: [83, 275, 53, 89, 19]
Value:      59319, Params: [179, 184, 32, 75, 33]
Value:     105988, Params: [109, 289, 16, 79, 18]
Value:      10000, Params: [120, 175, 60, 62, 28]
Value:      10000, Params: [38, 229, 88, 68, 12]
Value:  -99999999, Params: [71.7149855940247, 121, 23, 80, 40]
Value:      10000, Params: [103, 269, 82, 75, 20]
Value:      73409, Params: [109, 289, 16, 62, 28]
Value:      10000, Params: [156, 123, 63, 69, 26]
Value:       8378, Params: [33, 126, 42, 64, 34]
Value:      10000, Params: [126, 64, 58, 90, 17]
Value:      77702, Params: [31, 195, 22, 71, 27]
Value:     135688, Params: [81, 214, 82, 73, 36]
Value:      77609, Params: [126, 33, 37, 81, 40]
Value:      20246, Params: [57, 159, 33, 69, 22]
Value:     445850, Params: [39, 38, 36, 90, 38]
Value:      10000, Params: [17, 232, 75, 81, 10]
Value:     147919, Params: [182, 211, 15, 74, 38]
Value:     498725, Params: [66, 209, 57, 83, 38]
Value:  -99999999, Params: [106.82293609429496, 226, 38, 73, 24]
Value:      10000, Params: [68, 220, 75, 85, 19]
Value:     216388, Params: [17, 232, 35, 74, 38]
Value:     282642, Params: [71, 275, 56, 67, 39]
Value:      84333, Params: [65, 206, 15, 88, 23]
Value:      10000, Params: [139, 41, 44, 77, 23]
Value:      21667, Params: [140, 247, 22, 84, 11]
Value:      95863, Params: [196, 229, 36, 90, 31]
Value:     558164, Params: [39, 159, 66, 86, 38]
Value:      20758, Params: [28, 253, 22, 82, 12]
Value:     105151, Params: [61, 274, 24, 90, 23]
Value:     205044, Params: [20, 297, 45, 86, 31]
Value:      10000, Params: [91, 47, 79, 78, 16]
Value:     186229, Params: [179, 275, 53, 89, 39]
Value:      58326, Params: [65, 206, 56, 67, 33]
Value:      61208, Params: [48, 93, 27, 75.37958803702867, 27]
Value:      10000, Params: [57, 199, 68, 78, 16]
Value:       9114, Params: [27, 110, 36, 71, 23]
Value:     123699, Params: [144, 247, 42, 87, 36]
Value:     633907, Params: [20, 165, 37, 85, 31]
Value:     123699, Params: [25, 236, 38, 89, 28]
Value:     205044, Params: [20, 297, 45, 80, 31]
Value:     174536, Params: [70, 279, 27, 78, 31]
Value:     205044, Params: [17, 232, 75, 74, 38]
Value:     498725, Params: [144, 247, 42, 87, 23]
Value:     130567, Params: [25, 236, 37, 90, 28]
Value:     375730, Params: [31, 195, 22, 85, 17]
Value:  -99999999, Params: [139, 246.310797710507, 22, 84, 23]
Value:      20764, Params: [48, 254, 22, 68, 10]
Value:     205044, Params: [101, 251, 75, 74, 38]
Value:      45548, Params: [17, 232, 26, 62, 11]
Value:      12166, Params: [128, 46, 10, 77, 39]
Value:      10000, Params: [63, 236, 96, 85, 22]
Value:      13863, Params: [29, 296, 27, 62, 17]
Value:      73409, Params: [109, 289, 16, 63, 28]
Value:      12132, Params: [33, 236, 37, 69, 31]
Value:      95863, Params: [25, 180, 26, 85, 28]
Value:      10000, Params: [30, 179, 45, 64, 16]
Value:      63457, Params: [20, 297, 17, 78, 31]
Value:      14513, Params: [196, 199, 27, 86, 31]
Value:      10000, Params: [57, 229, 66, 76, 16]
Value:     205044, Params: [179, 275, 53, 90, 38]
Value:     587537, Params: [39, 159, 36, 89, 33]
Value:     492470, Params: [17, 203, 11, 74, 38]
Value:      10000, Params: [149, 232, 75, 76, 19]
Value:     500334, Params: [68, 262, 60, 79, 37]
Value:     498725, Params: [148, 274, 72, 70, 35]
Value:     186229, Params: [144, 237, 53, 74, 39]
Value:     707502, Params: [52, 184, 53, 76, 39]
Value:      76975, Params: [17, 203, 11, 76, 19]
Value:     205044, Params: [149, 232, 75, 74, 38]
Value:      21300, Params: [142, 260, 29, 73, 20]
Value:     148200, Params: [97, 50, 91, 77, 35]
Value:      10000, Params: [20, 297, 91, 77, 35]
Value:       9921, Params: [142, 50, 45, 78, 31]
Value:     105151, Params: [61, 274, 24, 90, 23]
Value:     232066, Params: [71, 275, 15, 88, 23]
Value:      10000, Params: [101, 195, 49, 72, 24]
Value:      10000, Params: [99, 133, 91, 86, 17]
Value:      14417, Params: [146, 257, 38, 73, 28]
Value:     213469, Params: [20, 165, 47, 89, 31]
Value:  -99999999, Params: [144, 236.3399472057199, 52.95280906887584, 74, 39]
Value:     139035, Params: [128, 236, 96, 85, 39]
Value:      10000, Params: [53, 126, 63, 65, 18]
Value:     410698, Params: [33, 269, 15, 69, 34]
Value:      10255, Params: [156, 123, 42, 83, 38]
Value:      10000, Params: [66, 226, 57, 64, 26]
Value:     122955, Params: [30, 179, 17, 64, 16]
Value:      51898, Params: [43, 299, 13, 75, 18]
Value:      10000, Params: [52, 59, 95, 76, 32]
Value:      10000, Params: [39, 218, 89, 85, 14]
Value:     186229, Params: [61, 159, 36, 90, 23]
Value:      73316, Params: [39, 274, 24, 90, 38]
Value:      10000, Params: [54, 227, 67, 87, 23]
Value:      10000, Params: [144, 247, 42, 76, 12]
