# smaS_period smaL_period rsi_period rsi_top rsi_bot
Value:      10000, Params: [146, 30, 87, 75, 36]
Value:      10000, Params: [147, 46, 17, 89, 23]
Value:      10000, Params: [84, 131, 94, 86, 11]
Value:      10000, Params: [182, 38, 31, 61, 18]
Value:      10000, Params: [167, 158, 46, 65, 20]
Value:      10000, Params: [146, 112, 31, 80, 33]
Value:      10000, Params: [56, 30, 87, 75, 37]
Value:      14831, Params: [131, 223, 61, 71, 40]
Value:      10000, Params: [116, 160, 83, 77, 39]
Value:      10000, Params: [122, 131, 69, 77, 16]
Value:      10000, Params: [141, 168, 36, 65, 16]
Value:      10000, Params: [135, 170, 29, 60, 10]
Value:      10000, Params: [197, 78, 51, 84, 32]
Value:      28396, Params: [138, 211, 15, 82, 21]
Value:      37093, Params: [132, 170, 15, 84, 26]
Value:  -99999999, Params: [105, 204, 38.91336785896395, 64, 26]
Value:      28342, Params: [178, 272, 18, 77, 37]
Value:      28342, Params: [138, 263, 12, 71, 28]
Value:      10000, Params: [122, 72, 40, 65, 29]
Value:      10000, Params: [56, 118, 71, 78, 26]
Value:      14556, Params: [73, 241, 31, 62, 35]
Value:      10000, Params: [138, 263, 39, 62, 26]
Value:      10640, Params: [141, 129, 12, 71, 28]
Value:      10000, Params: [78, 145, 19, 72, 12]
Value:      36869, Params: [119, 208, 22, 61, 37]
Value:      34828, Params: [168, 180, 13, 72, 35]
Value:      10000, Params: [114, 213, 66, 67, 37]
Value:      10000, Params: [138, 211, 19, 72, 12]
Value:      28396, Params: [78, 208, 15, 82, 21]
