# smaS_period smaL_period rsi_period rsi_top rsi_bot
Value:      10000, Params: [101, 82, 46, 85, 13]
Value:      20713, Params: [119, 139, 24, 82, 34]
Value:      10000, Params: [130, 261, 72, 65, 40]
Value:      21139, Params: [74, 107, 30, 82, 28]
Value:      16559, Params: [165, 175, 29, 72, 40]
Value:      13054, Params: [128, 39, 36, 73, 37]
Value:      10000, Params: [126, 144, 76, 65, 25]
Value:      14232, Params: [117, 299, 28, 68, 40]
Value:      13300, Params: [96, 48, 24, 78, 36]
Value:      10000, Params: [158, 150, 59, 76, 39]
Value:      10000, Params: [173, 275, 66, 72, 27]
Value:      10000, Params: [117, 144, 76, 65, 40]
Value:      10000, Params: [45, 203, 75, 69, 39]
Value:      21139, Params: [21, 87, 20, 86, 16]
Value:      10000, Params: [65, 175, 75, 63, 25]
Value:      10000, Params: [62, 285, 49, 83, 17]
Value:      10000, Params: [43, 165, 60, 76, 18]
Value:      12149, Params: [152, 39, 11, 63, 29]
Value:      11988, Params: [158, 48, 24, 78, 36]
Value:      11737, Params: [96, 150, 59, 76, 39]
Value:      10000, Params: [86, 290, 88, 60, 37]
Value:      19204, Params: [125, 135, 20, 85, 29]
Value:      10000, Params: [113, 244, 97, 71, 30]
Value:      10000, Params: [53, 300, 61, 67, 12]
Value:      10000, Params: [173, 277, 69, 77, 32]
Value:      10000, Params: [176, 170, 32, 67, 21]
Value:      10000, Params: [31, 163, 90, 67, 13]
Value:      10000, Params: [79, 35, 66, 84, 34]
Value:      13428, Params: [88, 203, 11, 66, 26]
Value:      13293, Params: [99, 211, 12, 72, 26]
Value:      19562, Params: [38, 144, 34, 85, 31]
Value:      19219, Params: [45, 203, 20, 86, 39]
Value:      21258, Params: [38, 144, 36, 73, 37]
Value:      19562, Params: [128, 39, 34, 85, 31]
Value:      21593, Params: [107, 157, 21, 80, 38]
Value:      19378, Params: [83, 253, 34, 72, 36]
Value:      22372, Params: [93, 144, 34, 69, 35]
Value:      10000, Params: [38, 27, 93, 85, 31]
Value:      13888, Params: [127, 255, 23, 72, 40]
Value:      19219, Params: [45, 203, 20, 86, 39]
Value:      20116, Params: [128, 144, 34, 73, 37]
Value:      10000, Params: [38, 39, 36, 85, 31]
Value:      12808, Params: [128, 39, 34, 72, 37]
Value:      21258, Params: [83, 157, 36, 73, 36]
Value:      10000, Params: [46, 260, 31, 74, 21]
Value:      19774, Params: [84, 262, 40, 90, 37]
Value:      10000, Params: [45, 203, 70, 86, 39]
Value:      14321, Params: [197, 213, 20, 75, 31]
Value:      10000, Params: [86, 230, 99, 84, 20]
Value:      21139, Params: [74, 107, 30, 82, 28]
Value:      19116, Params: [52, 263, 21, 82, 33]
Value:      19219, Params: [107, 253, 21, 80, 38]
Value:      19219, Params: [45, 203, 20, 86, 39]
Value:      15885, Params: [27, 38, 15, 78, 30]
Value:      10000, Params: [56, 81, 84, 82, 28]
Value:      21258, Params: [74, 107, 30, 79, 33]
Value:      11568, Params: [184, 74, 20, 63, 29]
Value:  -99999999, Params: [24.03078411446665, 76, 49, 62, 37]
Value:  -99999999, Params: [140.69275439055326, 54, 16.64730367668952, 90.77560689919773, 36]
Value:      18421, Params: [156, 159, 15, 63, 26]
Value:      18421, Params: [156, 159, 15, 63, 26]
Value:      10000, Params: [58, 254, 65, 89, 21]
Value:      19219, Params: [45, 203, 20, 86, 39]
Value:      16559, Params: [165, 175, 29, 72, 40]
Value:      10000, Params: [118, 36, 67, 79, 33]
Value:      10000, Params: [56, 81, 84, 60, 29]
Value:      10000, Params: [154, 267, 63, 68, 31]
Value:      21139, Params: [74, 107, 30, 82, 28]
Value:      10000, Params: [30, 215, 48, 63, 34]
Value:      10000, Params: [97, 170, 47, 75, 16]
Value:  -99999999, Params: [43.68562877742318, 112, 67, 81, 39]
Value:      10000, Params: [71, 203, 20, 86, 23]
Value:      10000, Params: [171, 176, 22, 60, 17]
Value:      10000, Params: [22, 241, 39, 79, 27]
Value:      21786, Params: [112, 138, 11, 68, 34]
Value:      20712, Params: [19, 118, 26, 87, 34]
Value:      10000, Params: [90, 145, 36, 64, 13]
Value:      21139, Params: [74, 107, 30, 82, 28]
Value:      10000, Params: [85, 238, 34, 75, 28]
Value:      10000, Params: [197, 213, 70, 76, 31]
Value:      20543, Params: [27, 118, 26, 87, 30]
Value:      18165, Params: [19, 38, 15, 78, 34]
Value:      21258, Params: [83, 157, 34, 72, 36]
Value:      20712, Params: [19, 118, 26, 87, 34]
Value:      20591, Params: [142, 194, 16, 90, 36]
Value:      10000, Params: [126, 54, 35, 63, 31]
Value:      10000, Params: [46, 262, 40, 67, 21]
Value:      10000, Params: [152, 26, 73, 90, 23]
Value:      13371, Params: [25, 74, 20, 63, 37]
Value:      11988, Params: [158, 48, 24, 78, 36]
Value:      19428, Params: [164, 263, 41, 82, 34]
Value:      21258, Params: [83, 157, 34, 72, 36]
Value:      14591, Params: [126, 176, 22, 79, 28]
Value:      10000, Params: [171, 242, 59, 81, 27]
Value:      20712, Params: [19, 118, 26, 87, 34]
Value:      20810, Params: [86, 135, 20, 60, 37]
Value:      13507, Params: [176, 170, 32, 67, 32]
Value:      19428, Params: [164, 263, 41, 82, 34]
Value:      10000, Params: [53, 157, 34, 67, 12]
Value:      10000, Params: [83, 300, 97, 72, 36]
Value:      11267, Params: [68, 282, 36, 61, 35]
Value:      10000, Params: [179, 232, 67, 70, 14]
Value:      10000, Params: [88, 82, 98, 72, 26]
Value:      16316, Params: [200, 203, 11, 87, 35]
Value:      10000, Params: [121, 141, 53, 75, 14]
Value:      16108, Params: [44, 34, 31, 69, 38]
Value:      11317, Params: [171, 254, 28, 75, 27]
Value:      18431, Params: [39, 176, 22, 79, 37]
Value:      20179, Params: [45, 145, 20, 86, 39]
Value:      10000, Params: [90, 203, 36, 64, 13]
Value:      19219, Params: [30, 203, 20, 86, 39]
Value:      19117, Params: [45, 272, 17, 83, 30]
Value:      13171, Params: [52, 138, 11, 68, 34]
Value:      13998, Params: [112, 263, 21, 82, 33]
Value:      13318, Params: [176, 170, 32, 67, 36]
Value:      20591, Params: [142, 54, 16, 90, 32]
Value:      13601, Params: [111, 178, 18, 63, 30]
Value:      10000, Params: [184, 62, 79, 77, 10]
Value:      10000, Params: [126, 213, 70, 75, 31]
Value:      10000, Params: [197, 299, 28, 68, 25]
Value:      20713, Params: [52, 107, 30, 82, 38]
Value:      10000, Params: [74, 256, 59, 74, 28]
Value:      10000, Params: [118, 57, 67, 60, 29]
Value:      10000, Params: [133, 36, 46, 87, 16]
Value:      10000, Params: [85, 223, 76, 63, 39]
Value:      10000, Params: [96, 150, 59, 76, 32]
Value:      10000, Params: [30, 272, 49, 83, 30]
Value:      14029, Params: [132, 168, 17, 77, 25]
Value:      10000, Params: [171, 176, 68, 69, 27]
Value:      10000, Params: [129, 96, 22, 79, 16]
Value:      10000, Params: [28, 31, 65, 62, 16]
Value:      10000, Params: [72, 45, 70, 78, 35]
Value:      19117, Params: [197, 213, 17, 83, 31]
Value:      10000, Params: [30, 272, 70, 75, 30]
Value:      20712, Params: [19, 118, 26, 87, 34]
Value:      18421, Params: [156, 159, 15, 63, 26]
Value:      10000, Params: [30, 242, 59, 81, 28]
Value:      13982, Params: [126, 272, 17, 83, 30]
Value:      10000, Params: [42, 261, 44, 86, 11]
Value:      10000, Params: [73, 242, 56, 86, 16]
Value:      19120, Params: [86, 203, 11, 72, 37]
Value:      13008, Params: [88, 135, 20, 60, 26]
Value:      10000, Params: [116, 282, 50, 60, 26]
Value:      10000, Params: [119, 124, 93, 73, 14]
Value:      10000, Params: [72, 45, 65, 62, 16]
Value:      10000, Params: [200, 82, 98, 87, 35]
Value:      10000, Params: [99, 211, 39, 60, 17]
Value:      13149, Params: [22, 241, 12, 66, 26]
Value:      10000, Params: [173, 277, 69, 77, 21]
Value:      11267, Params: [68, 232, 36, 61, 35]
