# roc rsi_change percD percK osc_ad macd rsi_period stoch_period osc_ad_period macd_me1_period macd_me2_period roc_period
Value:     -41180, Params: [-96, 91, 39.11945305556143, 16.698559850208095, 57.20729289505812, 93.23111825662455, 34, 40, 49, 27, 47, 14]
Value:     -46782, Params: [-6, 35, 43.17357229069665, 26.483270203681066, 90.72333476873993, 99.18356557693171, 15, 33, 50, 43, 14.028530855296959, 48]
Value:     -41180, Params: [-96, 91, 39.11945305556143, 16.698559850208095, 56.448463674458004, 93.23111825662455, 34, 40, 49, 27, 47.16789820297263, 14]
Value:     -41180, Params: [-96, 91, 39.11945305556143, 16.698559850208095, 56.448463674458004, 93.23111825662455, 34, 40, 49, 27, 46.95394594678669, 14]
Value:     -54795, Params: [-96, 91, 43.17357229069665, 26.483270203681066, 90.72333476873993, 99.18356557693171, 15, 33, 49, 27, 47, 14]
Value:     -34014, Params: [-6, 35, 39.11945305556143, 16.698559850208095, 57.20729289505812, 93.23111825662455, 34, 40, 50, 43, 14.028530855296959, 48]
Value:     -41180, Params: [-96, 91, 39.11945305556143, 16.698559850208095, 57.20729289505812, 93.23111825662455, 34, 40, 49, 27, 47, 14]
Value:     -41180, Params: [-96, 91, 39.11945305556143, 16.698559850208095, 57.20729289505812, 93.23111825662455, 34, 40, 49, 27, 46, 14]
Value:     -41180, Params: [-96, 91.42793002084663, 38.45995497156135, 16.698559850208095, 55.16690207270236, 93.23111825662455, 34, 40, 49, 27, 47, 14]
Value:     -41180, Params: [-96, 91, 39.11945305556143, 16.698559850208095, 57.20729289505812, 93.23111825662455, 34, 40, 49, 27, 46, 14]
