Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,48.970001,58.250000,47.540001,58.040001,58.040001,10890200
2012-02-01,58.099998,61.340000,56.689999,59.279999,59.279999,8536600
2012-03-01,59.680000,67.489998,58.400002,64.339996,64.339996,9789600
2012-04-01,64.699997,66.070000,60.849998,64.089996,64.089996,6204900
2012-05-01,63.930000,65.230003,57.250000,59.660000,59.660000,6221200
2012-06-01,57.990002,58.820000,54.119999,58.720001,58.720001,13357200
2012-07-01,58.689999,60.180000,55.950001,57.810001,57.810001,5149600
2012-08-01,58.000000,59.369999,55.090000,57.990002,57.990002,5705900
2012-09-01,57.980000,62.849998,57.580002,60.459999,60.459999,5244900
2012-10-01,60.580002,62.490002,55.270000,56.590000,56.590000,4872200
2012-11-01,56.720001,58.660000,52.400002,55.220001,55.220001,5183600
2012-12-01,55.500000,57.250000,53.480000,55.970001,55.970001,4655200
2013-01-01,57.430000,66.620003,56.840000,66.370003,66.370003,6622700
2013-02-01,66.400002,68.500000,65.449997,67.059998,67.059998,6334700
2013-03-01,66.559998,71.150002,65.730003,70.940002,70.940002,4480900
2013-04-01,70.889999,71.519997,65.589996,71.110001,71.110001,5057100
2013-05-01,70.519997,78.529999,69.070000,77.389999,77.389999,3698200
2013-06-01,77.610001,83.910004,74.059998,83.320000,83.320000,6436800
2013-07-01,83.800003,91.459999,83.500000,87.230003,87.230003,7515700
2013-08-01,88.220001,89.970001,82.279999,82.800003,82.800003,3901900
2013-09-01,83.580002,86.750000,79.540001,86.370003,86.370003,5492600
2013-10-01,86.120003,100.000000,86.059998,95.779999,95.779999,6865500
2013-11-01,95.680000,102.680000,94.529999,101.239998,101.239998,3865400
2013-12-01,101.000000,106.989998,97.000000,104.860001,104.860001,5045700
2014-01-01,104.010002,121.919998,101.650002,112.230003,112.230003,7450500
2014-02-01,112.629997,128.130005,106.519997,125.910004,125.910004,5847500
2014-03-01,124.849998,135.000000,121.889999,128.779999,128.779999,8186700
2014-04-01,128.949997,130.169998,105.300003,106.690002,106.690002,9923500
2014-05-01,106.720001,109.809998,100.300003,105.449997,105.449997,16975000
2014-06-01,105.669998,120.070000,103.800003,116.620003,116.620003,9962400
2014-07-01,117.250000,119.160004,108.199997,109.019997,109.019997,8137400
2014-08-01,108.720001,111.879997,102.360001,111.320000,111.320000,6984500
2014-09-01,111.680000,117.370003,109.940002,112.089996,112.089996,7272500
2014-10-01,111.190002,112.430000,91.540001,111.989998,111.989998,11699500
2014-11-01,112.330002,115.000000,104.949997,105.150002,105.150002,4780800
2014-12-01,104.559998,118.720001,100.540001,116.070000,116.070000,8947300
2015-01-01,116.690002,118.599998,102.769997,112.900002,112.900002,8621900
2015-02-01,113.620003,127.220001,112.160004,122.900002,122.900002,7818500
2015-03-01,122.739998,128.850006,120.019997,127.040001,127.040001,8099100
2015-04-01,127.550003,135.000000,122.629997,132.759995,132.759995,7037300
