Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,61.410000,64.620003,57.240002,61.480000,53.462742,134988600
2012-02-01,61.680000,64.430000,58.060001,59.430000,51.680077,114835700
2012-03-01,59.590000,60.650002,50.470001,51.270000,44.584183,171443700
2012-04-01,51.560001,52.410000,45.220001,47.650002,41.698021,151791900
2012-05-01,47.700001,49.840000,43.230000,47.160000,41.269234,158453500
2012-06-01,49.240002,52.330002,46.410000,48.509998,42.450600,136216900
2012-07-01,48.290001,49.840000,42.950001,44.470001,39.185806,103370800
2012-08-01,44.400002,50.750000,43.619999,50.680000,44.657898,104610100
2012-09-01,50.560001,57.930000,49.080002,56.020000,49.363365,135454700
2012-10-01,56.700001,56.849998,52.549999,54.580002,48.428936,86384100
2012-11-01,54.220001,54.299999,44.500000,47.090000,41.783039,125064100
2012-12-01,47.130001,47.130001,42.959999,46.439999,41.206287,123742000
2013-01-01,47.340000,47.590000,42.549999,42.959999,38.412807,128775900
2013-02-01,43.610001,45.820000,40.130001,40.290001,36.025421,149958600
2013-03-01,40.369999,41.939999,38.500000,41.889999,37.456059,144168200
2013-04-01,42.000000,42.000000,31.330000,32.400002,29.287680,231594500
2013-05-01,32.150002,34.480000,30.299999,34.279999,30.987082,174001800
2013-06-01,34.400002,35.439999,27.070000,29.950001,27.073027,181048700
2013-07-01,30.309999,31.410000,26.469999,30.000000,27.399363,204105600
2013-08-01,30.240000,34.270000,26.430000,31.770000,29.015926,206568300
2013-09-01,32.000000,32.180000,27.389999,28.100000,25.664070,183493600
2013-10-01,27.410000,28.709999,25.330000,27.260000,25.094355,200206600
2013-11-01,26.969999,28.450001,24.350000,24.830000,22.857407,167700600
2013-12-01,24.459999,24.600000,22.340000,23.030001,21.200403,210244900
2014-01-01,23.469999,25.650000,21.270000,21.600000,20.052299,221651100
2014-02-01,21.700001,24.549999,20.790001,23.260000,21.593363,228814100
2014-03-01,23.910000,26.370001,22.660000,23.440001,21.760466,193890700
2014-04-01,23.520000,26.500000,23.280001,24.830000,23.193979,186989000
2014-05-01,24.690001,25.020000,22.219999,22.889999,21.381805,105976600
2014-06-01,22.780001,25.540001,22.209999,25.440001,23.763794,125872500
2014-07-01,25.480000,26.170000,24.480000,24.910000,23.294399,138665300
2014-08-01,25.139999,27.400000,24.770000,27.090000,25.333012,108419100
2014-09-01,26.650000,26.850000,22.900000,23.049999,21.555031,135629500
2014-10-01,23.200001,23.709999,18.510000,18.760000,17.560633,203111900
2014-11-01,18.850000,20.070000,17.750000,18.400000,17.223648,198972900
2014-12-01,18.889999,20.450001,17.600000,18.900000,17.691683,214563500
2015-01-01,18.650000,25.250000,18.600000,25.150000,23.572834,233466900
2015-02-01,24.740000,26.700001,23.590000,26.330000,24.678829,134826300
2015-03-01,26.400000,26.510000,21.500000,21.709999,20.348555,171719000
2015-04-01,21.830000,26.790001,21.760000,26.490000,24.856518,144240400
2015-05-01,26.170000,27.900000,25.299999,27.240000,25.560266,114937600
2015-06-01,27.350000,27.480000,23.100000,23.360001,21.919523,179025400
2015-07-01,23.250000,24.070000,17.049999,17.170000,16.126827,193368400
2015-08-01,17.090000,18.920000,15.390000,17.070000,16.032900,200472200
2015-09-01,17.070000,17.650000,15.400000,16.070000,15.093660,177172300
2015-10-01,16.230000,20.570000,15.750000,19.459999,18.306847,195633700
2015-11-01,19.320000,19.760000,16.650000,18.410000,17.319073,140090000
2015-12-01,18.240000,20.490000,17.480000,17.990000,16.923960,151110800
2016-01-01,18.440001,20.070000,16.049999,19.959999,18.801468,173409600
2016-02-01,20.020000,26.400000,19.600000,25.830000,24.330763,276716600
2016-03-01,26.280001,28.389999,24.590000,26.580000,25.037231,198758100
2016-04-01,26.000000,34.990002,25.629999,34.970001,32.971333,172981500
2016-05-01,35.060001,35.750000,30.860001,32.410000,30.557636,195970800
2016-06-01,32.520000,39.240002,31.680000,39.119999,36.884136,189268100
2016-07-01,39.860001,44.169998,39.049999,44.000000,41.514523,157217500
2016-08-01,43.779999,46.070000,37.759998,38.240002,36.079895,149548900
2016-09-01,38.029999,42.689999,37.619999,39.290001,37.070580,145093500
2016-10-01,39.040001,39.330002,33.290001,37.040001,34.969334,141263400
2016-11-01,37.700001,38.869999,30.190001,32.439999,30.626495,185060600
2016-12-01,32.099998,36.090000,30.400000,34.070000,32.165375,179831600
2017-01-01,34.119999,37.250000,33.520000,36.279999,34.303055,149733700
2017-02-01,35.740002,38.009998,33.779999,34.240002,32.374218,119749600
2017-03-01,33.740002,34.709999,32.150002,32.959999,31.163963,150235000
2017-04-01,33.049999,35.529999,32.029999,33.810001,32.016148,127562700
2017-05-01,33.650002,34.810001,32.119999,34.150002,32.338100,108397200
2017-06-01,33.580002,35.560001,32.119999,32.389999,30.671486,104501500
2017-07-01,31.780001,37.349998,31.420000,37.169998,35.249954,103620600
2017-08-01,37.099998,38.910000,35.220001,38.340000,36.359516,111785100
2017-09-01,38.590000,39.630001,36.880001,37.509998,35.572392,98852200
2017-10-01,37.330002,38.849998,35.070000,36.160000,34.359325,88098400
2017-11-01,36.360001,37.590000,35.490002,36.090000,34.292809,127587500
2017-12-01,37.070000,38.040001,34.200001,37.520000,35.651600,97687200
2018-01-01,37.869999,42.040001,37.369999,40.509998,38.573444,97533500
2018-02-01,40.230000,41.020000,35.980000,38.200001,36.373875,129276600
2018-03-01,38.040001,40.029999,36.959999,39.070000,37.202290,112827900
2018-04-01,39.389999,41.980000,38.169998,39.290001,37.547077,101463000
2018-05-01,39.020000,40.840000,38.669998,38.930000,37.203045,85805000
2018-06-01,38.889999,39.189999,36.599998,37.709999,36.037159,92464100
2018-07-01,37.470001,38.630001,36.209999,36.680000,35.180614,86362300
2018-08-01,36.500000,36.820000,30.730000,31.030001,29.761574,132133100
2018-09-01,30.590000,32.090000,29.160000,30.200001,28.965504,116401800
2018-10-01,30.200001,33.250000,29.059999,30.920000,29.796858,159017800
2018-11-01,31.510000,33.700001,30.930000,32.340000,31.165277,103721400
2018-12-01,32.799999,35.080002,32.000000,34.650002,33.391369,131825800
2019-01-01,34.450001,35.180000,30.670000,34.110001,33.145073,178482500
2019-02-01,34.130001,37.630001,32.750000,34.119999,33.154785,176905100
2019-03-01,33.810001,36.029999,32.459999,35.770000,34.758110,332113100
