Avg Value : 0.00 | [25, 50, 21, 85, 20, 0.0, 0, 0]
Avg Value : -4281.51 | [50, 100, 40, 85, 30, -428150.56036559877, -4914.519473684211, 0]
Avg Value : -4729.36 | [50, 100, 21, 85, 30, -472936.4251650165, -5414.568055555554, 0]
Avg Value : 0.00 | [50, 100, 21, 85, 15, 0.0, 0, 0]
Avg Value : 0.00 | [25, 200, 21, 80, 15, 0.0, 0, 0]
Avg Value : -4768.13 | [25, 200, 21, 85, 30, -476812.87613543915, -5254.837623762376, 0]
Avg Value : -4768.13 | [100, 200, 21, 85, 30, -476812.87613543915, -5254.837623762376, 0]
Avg Value : -4768.13 | [125, 200, 14, 80, 30, -476812.87613543915, -5254.837623762376, 0]
Avg Value : 0.00 | [125, 200, 40, 80, 20, 0.0, 0, 0]
