Avg Value : -55.46 | [25, 50, 21, 85, 30, -5545.772991920664, -5141.023435119156, 5662.363700046702]
Avg Value : 29.91 | [125, 200, 14, 85, 20, 2990.831775217357, -2480.9454837766734, 3408.9149557355413]
Avg Value : 211.08 | [125, 150, 14, 85, 30, 21108.27242743697, -3816.89552818796, 5890.980117694413]
Avg Value : 86.22 | [100, 200, 14, 70, 20, 8622.232081809541, -2384.2402726970404, 4582.93545183714]
Avg Value : 9.62 | [25, 200, 21, 70, 30, 962.0343850130839, -3466.4360961720977, 5089.154793836942]
Avg Value : -21.01 | [25, 50, 14, 80, 20, -2101.061448850882, -5067.238103436403, 5052.961107654015]
Avg Value : 75.12 | [100, 150, 14, 70, 20, 7512.089970705949, -2827.5738300331777, 4582.93545183714]
Avg Value : -129.29 | [125, 100, 21, 70, 30, -12929.43808737332, -4728.962639226967, 4163.4590465245565]
Avg Value : 62.46 | [50, 100, 21, 70, 30, 6245.755092179928, -4154.133274336284, 4578.254871130315]
